Item;Image ;Category ;Allergenes;Traces ;Ingredients ;Day of the week;Seasonality;Date;Moment of the day
Chocolate pudding;https://unibz.markas.info/images/piatti/98108-budino.jpg;Dessert;Milk and products thereof;;cacao;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2018;Lunch, Dinner
vanilla pudding;https://unibz.markas.info/images/piatti/98108-budino.jpg;Dessert;Milk and products thereof;;vanilla;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2018;Lunch, Dinner
Organic yoghurt;https://unibz.markas.info/images/piatti/234877-yogurt-bio-al-naturale-o-alla-frutta.jpg;Dessert;Milk and products thereof;;milk;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2019;Lunch, Dinner
Fresh bread;https://unibz.markas.info/images/piatti/109492-pane-bianco.jpg;bread and bakery products;Cereals containing gluten: Wheat, Cereals containing gluten: rye, contains pork;Eggs and products thereof, Soybeans and products thereof, Milk and products thereof, Nuts: Pistachio nuts, Macadamia nuts, Pecan nuts, Brazil nuts, Cashews, Nuts, Hazelnuts, Almonds, Mustard and products thereof, Sesame seeds and products thereof, Lupin and products thereof;wheat;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2020;Lunch, Dinner
Mixed seasonal salad (spring);https://unibz.markas.info/images/piatti/107742-insalata-mista-di-stagione-invernale.jpg;Side dishes;Sulphur dioxide and sulphites > 10 mg/l;;carrots, cabbage, salad, tomato, mais, cucumber, olive oil, fennel;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2021;Lunch, Dinner
Salad;https://unibz.markas.info/images/piatti/98165-insalatona-del-giorno.jpg;Big salad;Mustard and products thereof, Sulphur dioxide and sulphites> 10 mg/l, Milk and products thereof;Cereals containing gluten: Wheat, Spelt, Khorasan, Rye, Barley, Oats, Eggs and products products, Soybeans and products thereof, Nuts: Pistachio nuts, Macadamia nuts, Pecan nuts, Brazil nuts, Cashews, Nuts, Hazelnuts, Almonds, Celery and products thereof, Sesame seeds and products thereof, Lupin and products thereof;;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2022;Lunch, Dinner
Bowl of the day;https://unibz.markas.info/images/piatti/234876-bowl-del-giorno.jpg;Single dish;Cereals containing gluten: wheat, Cereals containing gluten: Barley, Cereals containing gluten: Spelt, soybeans and products thereof, milk and products thereof, nuts: cashews, fish and products thereof, eggs and products thereof, contains frozen ingredients;Cereals containing gluten: Wheat, Spelt, Khorasan, Rye, Barley, Oats, Nuts: Pistachio nuts, Macadamia nuts, Pecan nuts, Brazil nuts, Cashews, Nuts, Hazelnuts, Almonds, Celery and products thereof, Mustard and products thereof, Sesame seeds and products thereof, Lupin and products thereof;beans, rice, corn, emmer, pesto, tomatoes, bell peppers, chickpeas, soy sauce, smoked salmon, apples, pasta, dried tomatoes, lentils, tofu, eggs, zucchini, carrots, cucumber, couscous, mozzarella, black olive, barley, chicken, green olives, black rice,  green beans;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2023;Lunch, Dinner
Pasta or rice with beef ragù;https://unibz.markas.info/images/piatti/234869-pasta-o-riso-al-ragu-di-carne.jpg;First courses;Cereals containing gluten: wheat;Soybeans and products thereof, Mustard and products thereof;pasta: wheat, rice: parboiled, meat: beef, tomatoes, carrots, onions, olive oil, black pepper, salt;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2024;Lunch, Dinner
Pasta or rice with oil (VEGAN);https://unibz.markas.info/images/piatti/234867-pasta-o-riso-allolio-vegan.jpg;First courses;Cereals containing gluten: wheat;Soybeans and products thereof, Mustard and products thereof;pasta: wheat, Rice: parboiled, Olive oil, salt;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2025;Lunch, Dinner
Pasta or rice with tomato sauce (VEGAN);https://unibz.markas.info/images/piatti/204928-pasta-o-riso-al-pomodoro-vegan.jpg;First courses;Cereals containing gluten: wheat;Soybeans and products thereof, Mustard and products thereof;pasta: wheat, Rice: parboiled, tomatoes, carrots, onions, basil, olive oil, salt;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2026;Lunch, Dinner
Pizza;https://unibz.markas.info/images/piatti/234870-trancio-di-pizza-farcita.jpg;Pizza;Cereals containing gluten: wheat, Cereals containing gluten: barley, Milk and products thereof, contains pork;Soybeans and products thereof, Mustard and products thereof, Lupin and products thereof;barley, wheat, milk, tomato paste, carrots, chicken and turkey wrustel, salt, bell peppers, oregano, black pepper, spicy sausage, eggplant;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2027;Lunch, Dinner
Piadina of the day;https://unibz.markas.info/images/piatti/153888-piadina-del-giorno.jpg;Piadina;Cereals containing gluten: wheat, milk and products thereof, contains pork ;Cereals containing gluten: Wheat, Spelt, Khorasan, Rye, Barley, Oats, Soybeans and products thereof, Sesame seeds and products thereof;wheat, asiago, emmental, edamer, lettuce, mortadella, ham, radish, speck, cabbage, salt;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2028;Lunch, Dinner
Crepes of the day*;https://unibz.markas.info/images/piatti/187630-crepes-del-giorno.jpg;Crepes;Cereals containing gluten: wheat, milk and products thereof, contains pork, eggs and products thereof, contains frozen ingredients;;eggs, milk, edamer, ham, flour: wheat, fontina, asiago, montasio;monday, tuesday, wednesday, thursday, friday, saturday, sunday;All the year;1/01/2026-31/12/2029;Lunch, Dinner
Risotto al radicchio;https://unibz.markas.info/images/piatti/98239-risotto-al-radicchio.jpg;First courses;Celery and products thereof, milk and products thereof, eggs and products thereof;;rice: parboiled, radish, grana padano, celery, carrots, onions, butter, olive oil , salt;thursday;All the year;23/04/2026;Lunch
Curried Vegetable pasta Salad (VEGAN);https://unibz.markas.info/images/piatti/186648-insalata-di-pasta-alle-verdure-grigliate-melanzane-bio-peperoni-bio-e-zucchine-vegan.jpg;First courses;Cereals containing gluten: wheat;Cereals containing gluten: Wheat, Spelt, Khorasan, Rye, Barley, Oats, Peanuts and products thereof, Soybeans and products thereof, Nuts: Pistachio nuts, Macadamia nuts, Pecan nuts, Brazil nuts, Cashews, Nuts, Hazelnuts, Almonds, Celery and products thereof, Mustard and products thereof, Sulphur dioxide and sulphites > 10 mg/l;pasta: wheat, carrots, zucchinis, peppers, eggplants, onions, olive oil, flour: wheat, basil, rosemary, parsley, curry, salt;thursday;All the year;23/04/2026;Lunch
Bauerngršstl;https://unibz.markas.info/images/piatti/98132-bauerngroestl.jpg;Second courses;Celery and products thereof, milk and products thereof, contains frozen ingredients;;meat: beef, onions, potatoes, butter, olive oil, parsley, black pepper, salt, celery, broth;thursday;All the year;23/04/2026;Lunch
Savory pie* with chard, herbs and Asiago DOP;https://unibz.markas.info/images/piatti/179536-torta-salata-alle-biete-erbette-e-ricotta.jpg;Second courses;Cereals containing gluten: wheat, milk and products thereof, eggs and products thereof, contains frozen ingredients;Cereals containing gluten: Wheat, Spelt, Khorasan, Rye, Barley, Oats, Fish and products thereof, Soybeans and products thereof, Mustard and products thereof;wheat, milk, eggs, olive oil, biet, asiago, grana padano , onions, salt;thursday;All the year;23/04/2026;Lunch
Baked Chickpea Falafel* (VEGAN);https://unibz.markas.info/images/piatti/231703-falafel-di-ceci-al-forno-con-salsa-al-pomodoro.jpg;Second courses;Cereals containing gluten: wheat, contains frozen ingredients;Eggs and products thereof, Fish and products thereof, Soybeans and products thereof, Milk and products thereof, Celery and products thereof;frozen falafel, olive oil, salt;thursday;All the year;23/04/2026;Lunch
Peas* in stew;https://unibz.markas.info/images/piatti/98135-piselli-in-umido.jpg;Side dishes;Contains frozen ingredients;Celery and products thereof;peas, tomato paste, carrots, onions, olive oil, basil, salt;thursday;All the year;23/04/2026;Lunch
Caponata BIO (peppers, aubergines, potatoes and carrots);https://unibz.markas.info/images/piatti/156983-caponata-peperoni-zucchine-melanzane-patate-e-carote.jpg;Side dishes;;;carrots, potatoes, bell peppers, eggplant, olive oil, onions, garlic, salt;thursday;All the year;23/4/2026;Lunch
Cake of the day*;https://unibz.markas.info/images/piatti/109602-torta-ai-frutti-di-bosco.jpg;Dessert;Cereals containing gluten: Wheat, Nuts: Almonds, Soybeans and products thereof, eggs and products thereof, Milk and products thereof, Contains frozen ingredients;Cereals containing gluten: Wheat, Spelt, Khorasan, Rye, Barley, Oats, Nuts: Pistachio nuts, Macadamia nuts, Pecan nuts, Brazil nuts, Cashews, Nuts, Hazelnuts, Almonds;Frozen apple strudel ;thursday;All the year;23/04/2026;Lunch
